,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 11
0,BDM,MMS,Medication Management Solutions (MMS),MMD,Dispensing,2305001,Pyxis Med,PH230500121000,Pyxis Med,PH230500132000,Pyxis Med - Other NONCATALOG,PH230500141021,Pyxis Med - Other,PH230500151021,Pyxis Med - Other,PC_1001,DT MED DISPENSING.,PC_1001-DT MED DISPENSING.,MMS-PC_1001,"$985,281,005 ", -   ,EXCLUDED: BU PROFIT CENTER ADJ.,EXCLUDE
1,BDM,CCA,Advanced Patient Monitoring,CCA,Advanced Patient Monitoring,2405000,Core APM,PH240500021000,Core APM - PC Adjustment,PH240500031000,Core APM - PC Adjustment,PH240500041000,Core APM - PC Adjustment,PH240500051000,Core APM - PC Adjustment,DUMMYSKU001_APM,PC Adjustment - 2405000 Core APM,DUMMYSKU001_APM-PC Adjustment - 2405000 Core APM,CCA-DUMMYSKU001_APM,"$470,227,479 ", -   ,EXCLUDED: UNKNOWN BU,EXCLUDE
2,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041428,Posiflush - Colubmus - US,PH210210051655,10ml,306546,SYRINGE 10ML REG PR SALINE 10ML FILL,306546-SYRINGE 10ML REG PR SALINE 10ML FILL,MDS-306546,"$262,903,115 ","1,039,603,178",Matched by 2024 Material ID,Plastipak
3,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421900,Other Specimen Acquisition,PH210900434000,Single Use Holders,PH210900441224,ONE-USE NON-STACK,PH210900451238,ONE-USE NON-STACK,364815,HOLDER ONE USE NONSTACKABLE,364815-HOLDER ONE USE NONSTACKABLE,SM-364815,"$27,431,888 ","963,649,112",Matched by 2024 Material ID,Plastipak
4,BDM,MMS,Medication Management Solutions (MMS),MMP,Pharmacy Automation,2305011,Parata,PH230501121000,Parata,PH230501131000,Parata - Other,PH230501141000,Parata - Other,PH230501151000,Parata - Other,PC_1102,Parata,PC_1102-Parata,MMS-PC_1102,"$264,931,930 ", -   ,EXCLUDED: BU PROFIT CENTER ADJ.,EXCLUDE
5,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,367861,TUBE EDTA PLH 13X75 4.0 PLBL LAV,367861-TUBE EDTA PLH 13X75 4.0 PLBL LAV,SM-367861,"$44,633,234 ","606,618,608",Matched by 2024 Material ID,Vacutainer tubes
6,BDM,CCA,Advanced Patient Monitoring,CCA,Advanced Patient Monitoring,2405003,Enhanced Surgical Recovery,PH240500321000,Enhanced Surgical Recovery - PC Adjustment,PH240500331000,Enhanced Surgical Recovery - PC Adjustment,PH240500341000,Enhanced Surgical Recovery - PC Adjustment,PH240500351000,Enhanced Surgical Recovery - PC Adjustment,DUMMYSKU004_APM,PC Adjustment - 2405003 Enhanced Surgical Recovery,DUMMYSKU004_APM-PC Adjustment - 2405003 Enhanced Surgical Recovery,CCA-DUMMYSKU004_APM,"$250,390,372 ", -   ,EXCLUDED: UNKNOWN BU,EXCLUDE
7,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041049,Syringe Only,PH210230051096,3ml,309657,SYRINGE 3ML LL 200 S/C,309657-SYRINGE 3ML LL 200 S/C,MDS-309657,"$33,586,017 ","534,864,599",Matched by 2024 Material ID,Plastipak
8,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041037,10cc Syringes Only - Hypodermic,PH210230051064,10CC SYR LL ONLY,302995,SYRINGE 10ML LL S/C 200,302995-SYRINGE 10ML LL S/C 200,MDS-302995,"$51,194,258 ","508,046,346",Matched by 2024 Material ID,Plastipak
9,BDM,MMS,Medication Management Solutions (MMS),MMP,Pharmacy Automation,2305005,ROWA Retail,PH230500521300,ROWA Retail,PH230500531300,ROWA Retail - Other,PH230500541006,ROWA Retail - Other,PH230500551006,ROWA Retail - Other,PC_1029,ROWA RETAIL,PC_1029-ROWA RETAIL,MMS-PC_1029,"$185,034,631 ", -   ,EXCLUDED: BU PROFIT CENTER ADJ.,EXCLUDE
10,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141105,SST PLASTIC HEMO,PH210900151106,SST PLASTIC HEMO,367986,Tube SST PLH 13X100mm 5.0ml PLBL Gold,367986-Tube SST PLH 13X100mm 5.0ml PLBL Gold,SM-367986,"$64,596,695 ","445,320,658",Matched by 2024 Material ID,Vacutainer tubes
11,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141103,SST II PLASTIC HEMO,PH210900151104,SST II PLASTIC HEMO,367955,TUBE SST II PLH 13X100 5.0 PLBL CE GLD,367955-TUBE SST II PLH 13X100 5.0 PLBL CE GLD,SM-367955,"$36,695,890 ","386,920,988",Matched by 2024 Material ID,Vacutainer tubes
12,BDM,CCA,Advanced Patient Monitoring,CCA,Advanced Patient Monitoring,2405002,Capital APM,PH240500221000,Capital APM - PC Adjustment,PH240500231000,Capital APM - PC Adjustment,PH240500241000,Capital APM - PC Adjustment,PH240500251000,Capital APM - PC Adjustment,DUMMYSKU003_APM,PC Adjustment - 2405002 Capital APM,DUMMYSKU003_APM-PC Adjustment - 2405002 Capital APM,CCA-DUMMYSKU003_APM,"$149,076,796 ", -   ,EXCLUDED: UNKNOWN BU,EXCLUDE
13,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,367856,TUBE EDTA PLH 13X75 3.0 PLBL LAV,367856-TUBE EDTA PLH 13X75 3.0 PLBL LAV,SM-367856,"$25,056,052 ","352,187,641",Matched by 2024 Material ID,Vacutainer tubes
14,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041429,Posiflush SP - Columbus - CE,PH210210051658,CE SALINE,306575,SYRINGE 10ML SALINE FILL CE,306575-SYRINGE 10ML SALINE FILL CE,MDS-306575,"$82,714,529 ","324,239,656",Matched by 2024 Material ID,Plastipak
15,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421850,Needles,PH210900434500,Safety Needle Eclipse,PH210900441251,Eclipse Needles,PH210900451266,ECLIPSE NEEDLES,368607,NEEDLE ECLIPSE 21X1.25,368607-NEEDLE ECLIPSE 21X1.25,SM-368607,"$50,457,390 ","298,777,396",Matched by 2024 Material ID,Safety Wingset
16,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021003,Safety Hypodermic Products,PH210230031027,Blunt Fill Needle / Combo,PH210230041143,BFN LARGE BORE,PH210230051261,BFN LONG LENGTH,305180,NEEDLE 18X1-1/2 BLUNT FILL,305180-NEEDLE 18X1-1/2 BLUNT FILL,MDS-305180,"$20,377,706 ","298,186,311",Matched by 2024 Material ID,Safety Wingset
17,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041428,Posiflush - Colubmus - US,PH210210051655,10ml,306547,SYR 10ML PUMP COMPATIBLE SALINE 10ML FIL,306547-SYR 10ML PUMP COMPATIBLE SALINE 10ML FIL,MDS-306547,"$70,600,992 ","276,884,432",Matched by 2024 Material ID,Plastipak
18,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032950,Stopper Mid Tier,PH210310041112,TSCF/TCF,PH210310051286,1-3ml,47433210,HYPAK TSCF1-3ML FM457/0GREY EV LID HFV,47433210-HYPAK TSCF1-3ML FM457/0GREY EV LID HFV,PS-47433210,"$11,180,325 ","272,955,001",Matched by 2024 Material ID,Vacutainer tubes
19,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032750,Hypak for Biotech,PH210310041099,SCF Needle,PH210310051222,1mlL,47591126,HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,47591126-HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,PS-47591126,"$130,394,588 ","269,105,280",Matched by 2024 Material ID,Hypak for Vaccine
20,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141104,SST PLASTIC CONV,PH210900151105,SST PLASTIC CONV,367988,Tube SST PLC 16X100mm 8.5ml PLBL RD/GR,367988-Tube SST PLC 16X100mm 8.5ml PLBL RD/GR,SM-367988,"$40,170,339 ","247,892,293",Matched by 2024 Material ID,Vacutainer tubes
21,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421850,Needles,PH210900434450,Conventional Needles,PH210900441248,NEEDLES CONVENTIONAL,PH210900451263,NEEDLES CONV,360213,NEEDLE CNV 21X1.5 MLTSMP CE,360213-NEEDLE CNV 21X1.5 MLTSMP CE,SM-360213,"$15,233,309 ","226,908,898",Matched by 2024 Material ID,Safety Wingset
22,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132100,PT PST,PH210900141092,PST PLASTIC HEMO,PH210900151093,PST PLASTIC HEMO,367962,TUBE PST PLH 13X100 4.5 PLBL L/GN,367962-TUBE PST PLH 13X100 4.5 PLBL L/GN,SM-367962,"$42,574,868 ","225,189,800",Matched by 2024 Material ID,Vacutainer tubes
23,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2302052,Skin Prep & Securement,PH230205221023,Skin Prep,PH230205231122,ChloraPrep 1mL,PH230205241456,"CHP-IPA, No Tint",PH230205251690,"CHP-IPA, No Tint",930480NSB,1ML APPLICATOR CHLORAPREP NS BULK,930480NSB-1ML APPLICATOR CHLORAPREP NS BULK,MDS-930480NSB,"$50,570,307 ","209,127,501",Matched by 2024 Material ID,Chloraprep
24,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,368856,TUBE EDTA PLH 13X75 3.0 PLBLCE LAV,368856-TUBE EDTA PLH 13X75 3.0 PLBLCE LAV,SM-368856,"$13,374,838 ","208,987,796",Matched by 2024 Material ID,Vacutainer tubes
25,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132100,PT PST,PH210900141092,PST PLASTIC HEMO,PH210900151093,PST PLASTIC HEMO,367960,TUBE PST PLH 13X75 3.0 PLBL L/GN,367960-TUBE PST PLH 13X75 3.0 PLBL L/GN,SM-367960,"$39,398,818 ","207,673,005",Matched by 2024 Material ID,Vacutainer tubes
26,BDM,MMS,Medication Management Solutions (MMS),MMD,Dispensing,2305004,BD Logistics,PH230500421100,BD Logistics,PH230500431100,BD Logistics - Other,PH230500441002,BD Logistics - Other,PH230500451002,BD Logistics - Other,PC_1053,PYXIS LOGISTICS,PC_1053-PYXIS LOGISTICS,MMS-PC_1053,"$70,549,172 ", -   ,EXCLUDED: BU PROFIT CENTER ADJ.,EXCLUDE
27,BDM,CMA,Contract Manufacturing Agreement,CMA,Contract Manufacturing Agreement,2400200,CMA - BDX to Embecta,PH240020021000,Contract Manufacturing Agreement - PC Adjustment,PH240020031000,Contract Manufacturing Agreement - PC Adjustment,PH240020041000,Contract Manufacturing Agreement - PC Adjustment,PH240020051000,Contract Manufacturing Agreement - PC Adjustment,PC_14105,Contract Manufacturing Agreement,PC_14105-Contract Manufacturing Agreement,CMA-PC_14105,"$70,422,639 ", -   ,EXCLUDED: AGREEMENT,EXCLUDE
28,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310033000,Stopper High Tier,PH210310041116,TSCF/TCF,PH210310051292,1-3ml,47605610,HYPAK,47605610-HYPAK,PS-47605610,"$51,810,421 ","201,329,610",Matched by 2024 Material ID,Vacutainer tubes
29,BDM,MMS,Medication Management Solutions (MMS),MMD,Dispensing,2315001,Pyxis Supply,PH231500121050,Pyxis Supply,PH231500131850,Pyxis Supply - Other NONCATALOG,PH231500141018,Pyxis Supply - Other,PH231500141018,Pyxis Supply - Other,PC_1002,DT PERIOP DISPENSING.,PC_1002-DT PERIOP DISPENSING.,MMS-PC_1002,"$69,110,642 ", -   ,EXCLUDED: BU PROFIT CENTER ADJ.,EXCLUDE
30,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121300,Tubes - Coagulation,PH210900131850,PT Citrate,PH210900141071,CITRATE PLASTIC HEMO,PH210900151071,CITRATE PLASTIC HEMO,363083,TUBE CIT PLH 13X75 2.7 PLBL L/BL .109,363083-TUBE CIT PLH 13X75 2.7 PLBL L/BL .109,SM-363083,"$22,704,600 ","201,250,426",Matched by 2024 Material ID,Vacutainer tubes
31,BDI,SUR,Surgery,SUR,Surgery,2302000,Infection Prevention - Surgical,PH230200021045,Other IP,PH230200031207,Other,PH230200041719,Other,PH230200051970,Other,0-720115D,"TINTING SOLUTION, DOMESTIC ORANGE","0-720115D-TINTING SOLUTION, DOMESTIC ORANGE",SUR-0-720115D,"$376,745 ","198,602,778",Matched by 2024 Material ID,Chloraprep
32,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041049,Syringe Only,PH210230051097,5ml,309646,SYRINGE 5ML LL SP125,309646-SYRINGE 5ML LL SP125,MDS-309646,"$18,475,616 ","186,197,237",Matched by 2024 Material ID,Plastipak
33,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032900,Stopper Low Tier,PH210310041108,TSCF/TCF,PH210310051260,1mlL,47292810,HYPAK TSCF1MLL PH701/50 EV LID,47292810-HYPAK TSCF1MLL PH701/50 EV LID,PS-47292810,"$5,380,670 ","183,987,889",Matched by 2024 Material ID,Vacutainer tubes
34,BLS,BDB,Biosciences,BDB,Biosciences,2200300,Service,PH220030021550,Technical Support Service,PH220030031900,Service Contract,PH220030041013,Service Contract - PC Adjustment,PH220030051019,Service Contract - PC Adjustment,PL_106_195,Service Contract Adjustment,PL_106_195-Service Contract Adjustment,BDB-PL_106_195,"$55,258,174 ", -   ,EXCLUDED: CONTRACT,EXCLUDE
35,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,368861,TUBE EDTA PLH 13X75 4.0 PLBLCE LAV,368861-TUBE EDTA PLH 13X75 4.0 PLBLCE LAV,SM-368861,"$12,215,580 ","180,304,065",Matched by 2024 Material ID,Vacutainer tubes
36,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021150,Component,PH210310032050,PFS Component,PH210310041052,Bulk Plunger Rod,PH210310051104,1ml,47404008,HYPAK PR1ML PSTYR CRISTAL REDUCED,47404008-HYPAK PR1ML PSTYR CRISTAL REDUCED,PS-47404008,"$2,199,799 ","174,562,500",Matched by 2024 Material ID,Vacutainer tubes
37,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031001,2-Piece Conventional - SYRINGE ONLY,PH210230041006,10ml Syringe Only,PH210230051006,10ml Syringe Only,309110,SYRINGE S2 10ML,309110-SYRINGE S2 10ML,MDS-309110,"$7,825,032 ","169,086,500",Matched by 2024 Material ID,Plastipak
38,BDM,MMS,Medication Management Solutions (MMS),MMD,Dispensing,2305008,Medbank,PH230500821000,Medbank,PH230500831000,Medbank - Other,PH230500841000,Medbank - Other,PH230500851000,Medbank - Other,PC_1079,Medbank,PC_1079-Medbank,MMS-PC_1079,"$51,995,185 ", -   ,EXCLUDED: BU PROFIT CENTER ADJ.,EXCLUDE
39,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310033000,Stopper High Tier,PH210310041116,TSCF/TCF,PH210310051291,1mlL,47618719,HYPAK TSCF1MLL4023FLUR EV LID PP HSS RP,47618719-HYPAK TSCF1MLL4023FLUR EV LID PP HSS RP,PS-47618719,"$40,952,138 ","167,982,080",Matched by 2024 Material ID,Vacutainer tubes
40,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021003,Safety Hypodermic Products,PH210230031027,Blunt Fill Needle / Combo,PH210230041143,BFN LARGE BORE,PH210230051261,BFN LONG LENGTH,303129,NDLE 18GA 1-1/2IN BLT FILL NC TW SHLD,303129-NDLE 18GA 1-1/2IN BLT FILL NC TW SHLD,MDS-303129,"$7,399,490 ","162,053,100",Matched by 2024 Material ID,Safety Wingset
41,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031009,Conventional Needles,PH210230041067,Large Bore Needles,PH210230051129,SHORT LENGTH,303262,NEEDLE 18X1-1/2 RB TW,303262-NEEDLE 18X1-1/2 RB TW,MDS-303262,"$4,188,429 ","161,815,518",Matched by 2024 Material ID,Plastipak
42,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421850,Needles,PH210900434500,Safety Needle Eclipse,PH210900441251,Eclipse Needles,PH210900451266,ECLIPSE NEEDLES,368609,NEEDLE ECLIPSE 21X1.25 CE,368609-NEEDLE ECLIPSE 21X1.25 CE,SM-368609,"$18,095,004 ","145,571,184",Matched by 2024 Material ID,Safety Wingset
43,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031011,Emerald - COMBOS,PH210230041075,3ml Syringes w/Ndl,PH210230051141,3ml Syringes w/Ndl,307754,SYRINGE 3ML LS 24X1 AN BAWAL,307754-SYRINGE 3ML LS 24X1 AN BAWAL,MDS-307754,"$5,140,023 ","144,647,200",Matched by 2024 Material ID,Plastipak
44,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032900,Stopper Low Tier,PH210310041108,TSCF/TCF,PH210310051258,0.5ml,47286910,HYPAK TSCF0.5ML PH701/50CBLK AVENTIS,47286910-HYPAK TSCF0.5ML PH701/50CBLK AVENTIS,PS-47286910,"$3,055,742 ","143,990,000",Matched by 2024 Material ID,Vacutainer tubes
45,BDM,CCA,Advanced Patient Monitoring,CCA,Advanced Patient Monitoring,2405001,Vascular APM,PH240500121000,Vascular APM - PC Adjustment,PH240500131000,Vascular APM - PC Adjustment,PH240500141000,Vascular APM - PC Adjustment,PH240500151000,Vascular APM - PC Adjustment,DUMMYSKU002_APM,PC Adjustment - 2405001 Vascular APM,DUMMYSKU002_APM-PC Adjustment - 2405001 Vascular APM,CCA-DUMMYSKU002_APM,"$50,441,295 ", -   ,EXCLUDED: UNKNOWN BU,EXCLUDE
46,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021150,Component,PH210310032050,PFS Component,PH210310041052,Bulk Plunger Rod,PH210310051112,1.5ml,47404108,HYPAK PR1.5ML REDUCED THREAD,47404108-HYPAK PR1.5ML REDUCED THREAD,PS-47404108,"$1,296,059 ","142,304,950",Matched by 2024 Material ID,Vacutainer tubes
47,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031001,2-Piece Conventional - SYRINGE ONLY,PH210230041011,5ml Syringe Only,PH210230051011,5ml Syringe Only,309050,SYRINGE S2 5ML,309050-SYRINGE S2 5ML,MDS-309050,"$4,700,151 ","142,016,100",Matched by 2024 Material ID,Plastipak
48,BDM,CCA,Advanced Patient Monitoring,CCA,Advanced Patient Monitoring,2405004,Tissue Oximetry,PH240500421000,Tissue Oximetry - PC Adjustment,PH240500431000,Tissue Oximetry - PC Adjustment,PH240500441000,Tissue Oximetry - PC Adjustment,PH240500451000,Tissue Oximetry - PC Adjustment,DUMMYSKU005_APM,PC Adjustment - 2405004 Tissue Oximetry,DUMMYSKU005_APM-PC Adjustment - 2405004 Tissue Oximetry,CCA-DUMMYSKU005_APM,"$47,913,985 ", -   ,EXCLUDED: UNKNOWN BU,EXCLUDE
49,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141103,SST II PLASTIC HEMO,PH210900151104,SST II PLASTIC HEMO,367957,TUBE SST II PLH 13X75 3.5 PLBL CE GLD,367957-TUBE SST II PLH 13X75 3.5 PLBL CE GLD,SM-367957,"$13,479,095 ","139,633,789",Matched by 2024 Material ID,Vacutainer tubes
50,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103300,PS Safety,PH210330021700,Device,PH210330034400,Preventis,PH210330041165,Preventis device,PH210330051372,All,47165601,BD PREVENTIS 1/2IN HYPAK SAFETY DEVICE,47165601-BD PREVENTIS 1/2IN HYPAK SAFETY DEVICE,PS-47165601,"$26,700,115 ","138,020,400",Matched by 2024 Material ID,Safety wingset
51,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141105,SST PLASTIC HEMO,PH210900151106,SST PLASTIC HEMO,367983,Tube SST PLH 13X75mm 3.5ml PLBL Gold,367983-Tube SST PLH 13X75mm 3.5ml PLBL Gold,SM-367983,"$19,464,722 ","137,775,211",Matched by 2024 Material ID,Vacutainer tubes
52,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310032900,Stopper Low Tier,PH210310041107,BSCF/BCF/BCA,PH210310051250,0.5ml,47266619,HYPAK BSCF0.5ML PH701/50BLK SI1000 PPL,47266619-HYPAK BSCF0.5ML PH701/50BLK SI1000 PPL,PS-47266619,"$3,874,755 ","136,512,000",Matched by 2024 Material ID,Vacutainer tubes
53,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032500,Hypak for Antico,PH210310041132,SCF Needle RNS,PH210310051334,0.5ml,47383126,HYPAK SCF0.5ML 27GA1/2IN-5B RNS4800,47383126-HYPAK SCF0.5ML 27GA1/2IN-5B RNS4800,PS-47383126,"$29,412,076 ","135,856,160",Matched by 2024 Material ID,Hypak for Antico
54,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032750,Hypak for Biotech,PH210310041099,SCF Needle,PH210310051222,1mlL,47591119,HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,47591119-HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,PS-47591119,"$74,471,907 ","135,352,320",Matched by 2024 Material ID,Hypak for Vaccine
55,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031001,2-Piece Conventional - SYRINGE ONLY,PH210230041010,3ml Syringe Only,PH210230051010,3ml Syringe Only,300928,SYRINGE S2 2ML,300928-SYRINGE S2 2ML,MDS-300928,"$3,312,939 ","128,870,600",Matched by 2024 Material ID,Plastipak
56,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121013,Software,PH230600131075,Alaris System SMS,PH230600141214,Maintenance,PH230600151335,Alaris System,SMS-3,SOFTWARE MANAGEMENT SERVICES-3,SMS-3-SOFTWARE MANAGEMENT SERVICES-3,MMS-SMS-3,"$39,824,382 ", -   ,EXCLUDED: SERVICE,EXCLUDE
57,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032500,Hypak for Antico,PH210310041132,SCF Needle RNS,PH210310051334,0.5ml,47383130,HYPAK SCF0.5ML 27GA1/2IN-5B RNS4800,47383130-HYPAK SCF0.5ML 27GA1/2IN-5B RNS4800,PS-47383130,"$28,379,424 ","128,828,160",Matched by 2024 Material ID,Hypak for Antico
58,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041049,Syringe Only,PH210230051092,1ml LL,309628,SYRINGE 1ML LL,309628-SYRINGE 1ML LL,MDS-309628,"$36,573,000 ","116,215,580",Matched by 2024 Material ID,Plastipak
59,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041429,Posiflush SP - Columbus - CE,PH210210051658,CE SALINE,306574,SYRINGE 5ML SALINE FILL CE,306574-SYRINGE 5ML SALINE FILL CE,MDS-306574,"$27,880,495 ","112,953,509",Matched by 2024 Material ID,Plastipak
60,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021200,Glass Container,PH210310032750,Hypak for Biotech,PH210310041099,SCF Needle,PH210310051222,1mlL,47591110,HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,47591110-HYPAK SCF1MLL29G1/2-5B RFSBD260 BTH DHB,PS-47591110,"$51,592,777 ","112,922,580",Matched by 2024 Material ID,Hypak for Vaccine
61,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421650,Devices,PH210900433800,Luer Lok Access Device,PH210900441217,LUER-LOK ACCESS DEVICE,PH210900451230,MALE LUER,36490200,BD LUER-LOK ACCESS DEVICE,36490200-BD LUER-LOK ACCESS DEVICE,SM-36490200,"$49,445,031 ","112,778,181",Matched by 2024 Material ID,Safety Wingset
